一,二,三,四,五,六,七,八,九,十
大,小,木,人,犬,川,口,日,子,月,上,中,山,下,年,正,田,米,白,目,耳,畠,土,水,又,火,花,入,見,竹,太,郎,私,本,牛,出,江,力,天
雨,高,石,方,足,手,村,車,長,道,右,左,持,通,海,舟,毎,玉,箱,父,母,東,西,南,北,学,校,家,字,新,今,青,寺,星,光,何,弟,兄,書,池,虫,名,前,色,来,行,風,男,草,近,着,物,黒,広,赤,祭,鳥,羽,時,空,夕,雲,吹,遠,松,原,美,女,国,申,袖
森,立,宮,店,売,音,柿,生,孫,枝,取,節,式,谷,皇,黄,朝,麦,気,島,居,多,少,毛,神,様,主,早,後,町,電,屋,夜,話,工,場,向,友,答,先,其,此,明,林,所,鳴,勝,番,心,負,外,机,戸,僕,吉,自,分,内,京,宿,根,聞,追,思,百,仕,事,板,扇,弓,矢,馬,度,雪,皆,杉,死,知,作,稲,金,間,送,汽,軍,河,船,乗,買,春,里,野,泣,遊,強,将,急,合,刀
陛,民,千,万,代,徒,教,室,級,君,冬,問,流,娘,尾,頭,酒,待,飲,切,血,曜,記,晴,病,曇,筆,葉,鯉,地,告,帯,客,注,文,反,景,庭,栗,夏,秋,表,歩,昼,数,起,門,平,匹,橋,渡,瓦,用,紺,御,尺,昔,者,造,祝,呼,息,蚕,頃,桑,棚,動,紙,降,低,糸,支,井,薪,腰,喜,或,都,親,孝,改,細,砂,面,社,朱,殿,浮,峠,半,壁,製,帰,両,言,掘,置,貧,乏,考,相,談,夫,賛,成,運,幅,首,翌,悪,賃,銭,蔵,妻,植,苦,労,念,郡,舞,返,報,階,洗,助,軒,安,辻,郵,便,封,承,枚,種,商,品,価,刻,途,悲,進,針,銀,実,類,停,洋,第,帝,役,央,局,替,発
去,俵,飯,卵,丸,湯,拾,晩,寒,次,以,世,界,岡,仲,銅,指,鉄,釘,艦,之,使,毒,折,意,初,茸,紅,落,住,列,礼,鉛,浜,波,岩,沖,義,討,騎,敵,不,暗,深,埋,命,霜,菊,元,弱,笑,程,鼻,食,戦,源,氏,捨,陸,惜,服,営,兵,砲,舎,各,隊,倍,沈,理,雷,同,鮭,魚,浅,産,穴,粒,我,楽,勇,縄,語,忘,磁,鉢,灰,果,残,捐,籾,豆,全,姫,姿,武,士,清,致,染,湖,氷,靴,片,曲,州,垣,守,攻,如,射,味,屈,難,必,暴,余,象,丈,由,牙,絵,桶,腕,印,腹,顔,誰,城,賊,投,坂,汲,旗,声,堀,油,傷,官,減,退,暖,芽,参,拝,午,老,棟,貝
形,球,洲,及,部,衆,望,比,横,貿,易,港,得,輸,等,岸,潮,干,狩,唱,織,妹,蛤,珍,総,鎌,倉,臣,開,満,真,忽,防,傘,茶,菓,笠,走,荷,耕,争,愛,養,乃,寸,諸,良,阪,煙,業,市,往,復,交,利,眠,怒,獣,打,無,従,幾,底,若,涼,蛙,窓,連,露,並,建,会,似,那,綿,布,箇,候,快,旅,順,修,忠,塔,陣,受,肩,回,組,具,止,鬼,約,束,直,休,鍬,輪,暑,働,奉,公,航,終,郷,講,堂,存,員,鯨,甲,恐,瀬,笛,角,灯,台,他,漁,写,帖,藤,信,驚,泳,藻,泥,決,珠,集,虫,骨,甚,肥,料,体,緑,咲,吸,仰,厄,農,配,倒,困,棒,止,重,掛,勤,共,加,功,頼,禁,震,叫,幕,登,涙,某,固,故,召,別,勢,威,案,姓,借,感,習,差,賞,彼,過,季,定,縞,至,末
桜,炭,焼,競,選,歳,境,初,乙,点,医,幼,雀,巣,暮,届,袋,柱,最,端,材,菜,量,豊,増,濁,域,沿,盛,湾,供,許,為,殺,説,帽,握,箸,結,塗,畑,薬,貴,鮮,栽,培,婦,違,育,乳,訴,調,放,情,呉,包,荒,積,速,乱,札,盗,罪,再,納,謹,週,祖,熱,願,寝,看,好,王,飼,爪,在,求,絶,畜,餅,釜,粉,奥,臼,杖,婆,転,駄,悔,帳,墨,履,職,号,活,古,富,有,英,勉,園,健,康,害,牧,滞,哩,勿,論,状,非,常,賀,席,冷,卓,税,是,限,費,県,院,路,裁,判,務,財,収,治,器,歌,円,頗,閣,張,飛,佐,胃,坐,給,招,互,損,機,械,乾,温,誕,亡,忌,法,沢,対,墓,詣,浴,馴,畳,魂,誠,質,素
鶏,廻,辺,属,移,殊,幹,肉,茂,静,紫,群,性,勅,既,俄,危,敷,皮,保,護,容,例,蝶,枯,裏,警,戒,蜂,臭,福,志,研,究,読,政,関,係,精,葬,滝,壮,観,紋,覧,卒,破,歎,誉,胸,剣,師,弾,謝,備,厚,領,然,需,要,照,貯,資,繁,昌,推,担,軽,茎,穂,散,汗,続,逃,銃,床,伝,令,規,律,特,衛,敬,駅,泉,街,弁,越,沼,帆,飾,怠,宝,位,変,線,迷,熊,想,像,座,傍,姉,脈,頂,霧,付,雄,眼,熟,延,隣,込,甘,猫,啓,任,恥,鋭,恩,察,議,挙,補,予,権,棄,適,趣
留,達,后,到,遺,旧,坪,尽,扱,団,征,設,経,密,興,奮,久,険,周,囲,族,背,段,処,嵐,附,救,遂,漕,呑,浪,画,影,寄,伏,層,割,浦,凡,億,応,縁,罵,唯,離,皿,尚,巧,預,期,払,貸,証,励,普,覚,獲,援,的,僧,迎,栄,泊,失,梅,奪,暇,沙,汰,汝,授,侍,訟,断,府,構,館,煉,展,編,則,図,崩,採,燃,更,羊,豚,額,整,虎,敗,捕,効,香,薄,絹,管,髪,障,粗,縫,夢,仏,振,丹,術,隻,裂,歓,巻,鏡,尋,跡,詩,歴,模,範,益,幸,専,課,基,和,奏,臨,揮,秒,賎,遅,句
陽,即,随,聖,徳,化,著,績,述,録,可,簡,崎,租,区,制,膚,俗,縦,博,狭,占,桃,聴,犯,刑,罰,疑,検,件,添,極,解,率,督,際,筋,斬,算,旨,況,桐,突,押,抜,称,接,未,没,伐,峰,苗,斜,祈,宜,衰,肺,衣,技,愚,妙,独,消,激,練,除,貫,条,殆,僅,株,識,樹,智,完,閉,訪,才,希,努,滅,貨,幣,欠,操,暦,略,紀,齢,陰,統,雑,優,史,就,瀑,舌,誘,視,抱,顧,漢,協,勧,吏,尊,慈,善,依,紳,勲,恭,籍,版,忍,悉,刷,庫
昇,輝,鉱,叱,辛,吐,探,揚,単,純,戯,現,司,販,能,但,隔,敏,己,永,個,耐,格,誤,混,芸,麗,側,彫,眺,倹,演,免,異,題,奇,怪,揃,殖,憂,築,縮,柔,磨,装,烈,複,因,賜,章,旭,潔,示,藍,短,与,認,準,狂,請,責,腸,網,誇,査,確,雇,宅,懐,提,否,省,測,賢,試,濃,悟,抗,迫,巡,諭,厳,廃,霞,鹿,哀,験,稀,蒸,革,換,呈,伺,忙,訓,載,渉,委,策,謀,仁,評,捧,冠,拠,系,掃,創,侮,脱
